OBJECTID,LocationName,Grey_Headed,Black,Little_Red,ObservationDate,Status,Approval,Young,created_user,created_date,last_edited_user,last_edited_date,GlobalID,SHAPE_Length,SHAPE_Area
177677,Emerald,0,40,0,2018/06/18 14:00:00+00,A,3,Nil,,,,,{9E2C5E9F-AD43-4549-9220-AD8DF693A8E7},19.4859384270626,-21.5185419121709
177678,Emerald,0,18,0,2018/06/04 14:00:00+00,A,3,Nil,,,,,{7F494217-42D6-4C46-B62C-40C86C1C130C},20.3005381073175,-28.0711621769775
177679,Hardie,1800,1405,0,2018/06/04 14:00:00+00,A,3,Nil,,,,,{1119B6EC-1814-4DCA-B7DF-F1CBA37DB6D0},455.342842427464,-8157.17252050652
177680,Hardie,995,4360,0,2018/05/21 14:00:00+00,A,3,Nil,,,,,{5556E579-D44F-472F-9462-F1E22B520667},395.986920532631,-8243.63401815433
177681,Hardie,185,1435,0,2018/05/09 14:00:00+00,A,3,Nil,,,,,{1DB6F07B-B297-471D-A36D-B778066376B2},389.559065621325,-8398.05581422263
177682,Vidler,1185,810,0,2018/05/09 14:00:00+00,A,3,Nil,,,,,{A8B412F1-9CC9-4C08-92C3-D3A78B740FB6},279.535499418811,-3781.26900755562
177683,Emerald,0,52,0,2018/05/09 14:00:00+00,A,3,Nil,,,,,{A8EF57DB-88CE-4C6B-A9F8-D4316BFE27CF},15.7745021711305,-16.2258643112626
177684,Emerald,150,400,0,2018/05/09 14:00:00+00,A,3,Nil,,,,,{6C4E787C-017B-4EE3-81A9-E1AAE1CED64F},253.659110085105,-1922.99205440991
177685,Emerald,101,700,0,2018/04/22 14:00:00+00,A,3,Nil,,,,,{50537554-E269-4B4B-96A8-3FC51DA7FBFE},316.654645488451,-3718.98918473438
177686,Vidler,930,635,0,2018/04/22 14:00:00+00,A,3,Nil,,,,,{55BF2741-B687-4F6B-964E-65F65E363B41},295.316738399042,-3907.36438413445
177687,Hardie,0,25,0,2018/04/22 14:00:00+00,A,3,Nil,,,,,{C5FD178A-AD93-4F20-850A-3C66DDDB87A3},20.8046937742588,-30.3556313142375
177688,Hardie,0,930,0,2018/04/22 14:00:00+00,A,3,Nil,,,,,{F95A17DF-B4FF-40E3-9CE6-3FF104B9B81E},303.280342429628,-3706.59834457441
177689,Aragorn,625,1275,0,2018/04/22 14:00:00+00,A,3,Nil,,,,,{2D30A30F-CED5-4999-B6C7-C41D03E1ECC2},194.320102231349,-2142.49125732236
177690,Aragorn,1450,3510,0,2018/04/08 14:00:00+00,A,3,Nil,,,,,{D838D5D8-B81B-41E7-9A1E-3C643BD8B634},780.812165252978,-11907.5763081174
177691,Elizabeth,130,1000,0,2018/04/08 14:00:00+00,A,3,Nil,,,,,{76232595-351B-4DAC-8B47-DCCE9BB755D6},360.915157421663,-3987.02510148653
177692,Emerald,0,25,0,2018/07/02 14:00:00+00,A,3,Nil,,,FlyingFox_Contractor,2018/09/26 04:17:41+00,{F741A2CA-4ECC-44D6-8168-C12E0384DCD6},17.6931332416038,-18.2761042042571
177693,Elizabeth,50,0,0,2018/07/02 14:00:00+00,A,3,Nil,,,FlyingFox_Contractor,2018/10/03 00:14:26+00,{571F0185-3F1D-40EE-B395-C115462472A3},157.123355783093,-411.886691085875
177694,Andrea,800,3900,0,2018/08/17 04:44:59+00,A,3,Nil,FlyingFox_Contractor,2018/08/22 23:26:00+00,FlyingFox_Contractor,2018/10/02 23:59:42+00,{47E601E3-F0AF-44D0-A618-896668B68D5A},564.893872383402,-11282.9846818428
177695,Emerald,5,3795,0,2018/09/17 07:05:00+00,A,3,Nil,FlyingFox_Contractor,2018/09/19 23:44:40+00,td018,2018/10/10 01:47:47+00,{12FD266C-EEF7-472A-9227-9AEBB87C9857},414.604298141389,-10671.3860886776
177696,Vidler,385,1977,0,2018/09/17 01:58:22+00,A,3,Nil,FlyingFox_Contractor,2018/09/20 02:02:04+00,td018,2018/10/10 01:55:12+00,{2D7F2461-37CE-4FB9-B93F-002F1C679327},364.615809614051,-4111.81116301169
177697,Mary,647,0,0,2018/10/17 00:07:00+00,A,3,Nil,FlyingFox_Contractor,2018/09/20 01:30:14+00,td018,2018/11/05 23:30:49+00,{CD2614A6-A54B-444F-86B9-B9371D6DCA48},195.47122446165,-1132.3167070722
177698,Vidler,815,1748,0,2018/10/16 00:00:00+00,A,3,Nil,FlyingFox_Contractor,2018/10/02 00:40:12+00,td018,2018/11/05 23:21:50+00,{02EF0A15-5DE7-4462-8C78-6BCB338C00D0},522.979513307513,-7718.07326047895
177699,Emerald,9,3222,0,2018/10/02 00:31:09+00,A,3,Nil,FlyingFox_Contractor,2018/10/02 04:19:12+00,td018,2018/10/26 02:00:53+00,{26677952-6EBF-417D-979C-FD2D981FBDBB},357.221204730177,-7483.06380949269
177700,Elizabeth,30,460,0,2018/10/01 14:23:00+00,A,3,Nil,FlyingFox_Contractor,2018/10/02 02:06:00+00,td018,2018/10/26 01:59:46+00,{56D1BAF0-3244-4DFB-8BAF-2AA9AFBB2F75},436.191903891321,-4241.8095287901
177701,Elizabeth,12,268,0,2018/10/15 14:00:00+00,A,3,Nil,FlyingFox_Contractor,2018/10/16 02:04:05+00,td018,2018/11/05 23:17:15+00,{B2C64A06-43DD-4602-8A96-3BA1D70F3D6C},443.51063972179,-2887.93542781144
177702,Aragorn,0,241,0,2018/10/16 03:20:33+00,A,3,Nil,FlyingFox_Contractor,2018/10/16 02:54:38+00,td018,2018/11/05 23:14:57+00,{4B06CF9A-6042-4DB2-A4C9-8DCDA4DD3B8F},200.026860636533,-1714.06584936946
177703,Andrea,0,510,0,2018/12/11 22:37:16+00,A,3,Dependent,FlyingFox_Contractor,2018/10/16 22:27:29+00,td018,2018/12/19 22:55:38+00,{F0DE7527-4727-4CCD-B16B-B815268331B7},187.447972117826,-2182.09355514506
177704,Mary,848,0,0,2018/12/12 00:08:12+00,A,3,Dependent,FlyingFox_Contractor,2018/10/17 00:17:46+00,td018,2018/12/19 22:42:42+00,{A70A219B-D19E-49AF-B8AE-FD6A7B266F4B},250.630933110919,-3258.85569016255
177705,Mary,647,0,0,2018/10/16 00:49:59+00,A,3,Nil,FlyingFox_Contractor,2018/10/17 04:37:40+00,td018,2018/11/05 23:29:16+00,{1E461CA3-7BB8-4B45-9367-4DA21614B9D1},290.004775504978,-3267.47019819992
177706,Emerald,48,2709,0,2018/10/16 04:17:00+00,A,3,Nil,FlyingFox_Contractor,2018/10/18 00:09:46+00,td018,2018/11/05 23:20:34+00,{DE4E9278-3761-427A-A87B-0D936B3B421A},345.677828063075,-6382.96700727172
177707,Hardie,120,602,0,2018/10/15 22:24:00+00,A,3,Nil,FlyingFox_Contractor,2018/10/18 00:17:04+00,Esri_Anonymous,2018/11/02 00:42:46+00,{C8065ACB-EE32-4481-B7EE-077B92C9526E},277.412772688935,-4826.25661967829
177708,Hardie,51,689,0,2018/11/12 22:30:38+00,A,3,Dependent,FlyingFox_Contractor,2018/10/29 23:02:44+00,td018,2018/11/26 00:18:18+00,{DFEDAA37-56DC-410E-9E0B-278538B52162},247.58729362095,-3721.47750371776
177709,Aragorn,300,845,0,2018/11/13 02:38:06+00,A,3,Dependent,FlyingFox_Contractor,2018/10/30 04:23:32+00,td018,2018/11/26 00:03:56+00,{5A2FB1AB-4915-49D1-A5F9-D6C52B4DD37A},332.986042478224,-4133.52800386357
177710,Elizabeth,80,602,0,2018/11/13 01:16:48+00,A,3,Dependent,FlyingFox_Contractor,2018/10/30 03:21:59+00,td018,2018/11/26 00:08:00+00,{AF2F9F8D-BA59-4F24-ADC7-4A44B613F6C1},435.761226542276,-2771.38071285245
177711,Elizabeth,0,0,0,2018/09/17 05:50:00+00,A,3,Nil,LQD,2018/11/01 01:06:15+00,LQD,2018/11/01 01:06:15+00,{50EF2DD5-5174-4F9C-9E7E-7630BAB3A0D2},436.191903892637,-4241.81080415055
177712,Andrea,0,0,0,2018/09/16 23:16:00+00,A,3,Nil,LQD,2018/11/01 01:08:56+00,LQD,2018/11/01 01:08:56+00,{521D260B-FE74-448E-ABDF-197AE4C664EC},564.893872385303,-11282.9855812774
177713,Aragorn,0,0,0,2018/09/17 06:26:00+00,A,3,Nil,LQD,2018/11/01 01:11:35+00,LQD,2018/11/01 01:11:35+00,{F37F8BD8-5205-4F18-84C4-7C1E18C715B3},200.026860640362,-1714.06539717657
177714,Hardie,0,0,0,2018/10/01 22:38:59+00,A,3,Nil,LQD,2018/11/01 01:16:04+00,td018,2018/11/05 23:10:13+00,{6F4071E3-4728-4C55-BEE4-C60C58B5957C},289.375094833495,-4145.70950987758
177715,Hardie,0,0,0,2018/09/17 00:24:59+00,A,3,Nil,LQD,2018/11/01 01:16:04+00,LQD,2018/11/01 01:16:04+00,{E9F39B9C-258D-496E-96DC-13EB9F9A3B5A},289.375094837934,-4145.70965230215
177716,Emerald,5,2099,0,2018/11/13 03:59:08+00,A,3,Dependent,FlyingFox_Contractor,2018/11/07 23:21:44+00,td018,2018/11/26 00:14:17+00,{70FAC25F-141D-4C61-8345-74399BD9CB7F},363.410874987591,-5464.96932702787
177717,Vidler,0,0,0,2018/11/12 23:45:48+00,A,3,Nil,FlyingFox_Contractor,2018/11/07 23:45:58+00,td018,2018/11/26 00:26:21+00,{A067E5B1-2CAB-401F-BF22-563CCE5CEF83},381.481561806565,-7430.09357547481
177718,Andrea,0,410,0,2018/10/15 22:30:00+00,A,3,Nil,td018,2018/11/26 06:30:04+00,td018,2018/11/26 06:34:29+00,{3BBF789B-4903-413C-9928-E2C4E0570D55},234.037443718707,-3084.98925537253
177719,Aragorn,0,0,0,2018/10/02 03:30:00+00,A,3,Nil,td018,2018/11/26 22:38:50+00,td018,2018/11/26 22:41:04+00,{2FA928C9-069A-4CCB-88D4-CCE6326F1FC7},202.809234955878,-1754.13851660337
177720,Vidler,674,989,0,2018/10/02 00:45:00+00,A,3,Nil,td018,2018/11/26 22:45:57+00,td018,2018/11/26 22:47:51+00,{D081A9A0-5852-4F75-B19C-CCA0292447C8},509.925493971799,-7283.97116362963
177721,Vidler,1478,473,0,2018/12/11 00:36:43+00,A,3,Dependent,FlyingFox_Contractor,2018/11/27 00:11:58+00,td018,2018/12/19 22:56:25+00,{736C240C-7ECD-4ECD-8184-20A17D79873C},534.306367870947,-7728.66696338313
177722,Elizabeth,108,751,0,2018/12/11 02:15:12+00,A,3,Dependent,FlyingFox_Contractor,2018/11/27 01:09:18+00,td018,2018/12/19 22:43:24+00,{7CDBA7E5-DBD4-4B1D-862A-68967EB9260E},474.557099008593,-5844.41543417273
177723,Aragorn,293,1951,89,2018/12/11 03:07:43+00,A,3,Dependent,FlyingFox_Contractor,2018/11/27 02:24:17+00,lqd,2018/12/19 04:57:35+00,{0C5253C1-ED98-4D36-8B37-C1898218AC6B},428.669192803548,-8996.45706353122
177724,Emerald,22,2401,0,2018/12/11 04:03:26+00,A,3,Dependent,FlyingFox_Contractor,2018/11/27 03:04:14+00,td018,2018/12/19 22:52:44+00,{CC02B2DD-368D-4EB7-ADA1-CE71355F9428},407.175658756243,-8372.90734395073
177725,Hardie,141,998,50,2018/12/10 22:42:39+00,A,3,Dependent,FlyingFox_Contractor,2018/11/26 22:58:58+00,td018,2018/12/19 22:54:04+00,{C79FF4C2-EC8D-4A74-9589-05CB3D7EF940},354.698853526912,-6884.95296264369
177726,Aragorn,290,740,0,2018/10/30 04:12:05+00,A,3,Dependent,SCC,2018/11/29 07:52:50+00,td018,2018/12/03 00:29:59+00,{A872BE63-6D9C-41EC-A036-6C110954AA34},280.502216899895,-2569.28019708721
177727,Elizabeth,96,559,0,2018/10/30 03:22:15+00,A,3,Nil,SCC,2018/11/29 07:53:21+00,td018,2018/12/03 00:36:33+00,{B64EAB77-E552-47DC-B39F-05A22B10A2F7},433.818489252094,-2176.57894289692
177728,Emerald,11,3698,0,2018/10/30 04:44:59+00,A,3,Dependent,SCC,2018/11/29 07:53:40+00,td018,2018/12/19 22:53:21+00,{DAEA432F-C519-45EA-AC31-B49D3A5BE6BB},404.989100999701,-10717.7144676609
177729,Hardie,110,502,0,2018/10/15 22:24:46+00,A,3,Nil,SCC,2018/11/29 07:53:57+00,SCC,2018/11/29 07:53:57+00,{9E604340-97AD-45AC-9A80-71710DA833FF},289.375094821846,-4145.70720228009
177730,Emerald,11,3698,0,2018/10/30 04:44:59+00,A,3,Dependent,SCC,2018/11/29 07:53:57+00,td018,2018/12/03 00:41:22+00,{CEC3421F-288B-4DFD-A507-39D093FC35D2},404.989100999701,-10717.7144676609
177731,Vidler,955,1836,0,2018/10/30 13:30:00+00,A,3,Nil,SCC,2018/11/29 07:54:10+00,td018,2018/12/03 00:46:40+00,{46234286-3814-42C9-931B-B16DAACE1D01},381.48161279163,-7430.09279256622
177732,Hardie,110,502,0,2018/10/15 22:24:46+00,A,3,Nil,SCC,2018/11/29 07:54:10+00,SCC,2018/11/29 07:54:10+00,{0300454A-D0E9-4C87-8D71-57210C698A17},289.375094821846,-4145.70720228009
177733,Emerald,11,3698,0,2018/10/30 04:44:59+00,A,3,Dependent,SCC,2018/11/29 07:54:10+00,td018,2018/12/03 00:42:28+00,{12F48450-9A0B-4D15-8452-12C440B98F43},404.989100999701,-10717.7144676609
177734,Emerald,8,2774,0,2018/11/27 04:00:06+00,A,3,Dependent,LQD,2018/12/13 04:07:25+00,td018,2018/12/19 22:53:30+00,{CA9FF153-ED13-4026-9FC8-BAA42A569513},484.899226420009,-9511.53525030767
177735,Aragorn,220,1479,0,2018/11/27 02:12:38+00,A,3,Dependent,LQD,2018/12/13 04:07:25+00,lqd,2018/12/19 04:57:17+00,{A481C310-A055-4042-BBBB-E555B40F0A3E},409.040332621921,-7594.64826951441
177736,Elizabeth,84,811,0,2018/11/27 01:01:41+00,A,3,Dependent,LQD,2018/12/13 04:07:25+00,td018,2018/12/19 22:44:00+00,{DDA5FFD1-2503-4E88-9C6E-16A1612ECE49},439.799211095571,-5543.24409455827
177737,Vidler,41,466,0,2018/11/26 23:52:29+00,A,3,Dependent,LQD,2018/12/13 04:07:25+00,td018,2018/12/19 22:56:32+00,{71AAFE38-3570-462D-94C5-DB21C00EED08},394.143351267311,-2088.9859166767
177738,Hardie,91,1039,0,2018/11/26 22:52:57+00,A,3,Dependent,LQD,2018/12/13 04:07:25+00,td018,2018/12/19 22:54:18+00,{866990A5-48F2-43D8-A100-C42C0B43DF97},359.372459054935,-7983.56788781934
177739,Hardie,202,1048,63,2019/01/01 22:37:23+00,A,3,Dependent,FlyingFox_Contractor,2019/01/01 22:48:36+00,td018,2019/01/06 23:22:59+00,{4DE4F53F-BEF2-4DA3-BFE6-0FDFC848DA1E},286.557112300242,-5310.77629368864
177740,Vidler,1210,530,0,2019/01/01 23:39:24+00,A,3,Dependent,FlyingFox_Contractor,2019/01/01 23:55:52+00,td018,2019/01/06 23:23:59+00,{9E79398A-1BEC-4BA1-8009-C98AC3F681B6},490.082515868184,-5589.09443489064
177741,Elizabeth,102,941,0,2019/01/02 01:38:26+00,A,3,Dependent,FlyingFox_Contractor,2019/01/02 01:46:36+00,td018,2019/01/06 23:08:01+00,{4C461175-8DA1-4C11-B004-E8DECCD61861},450.116208760651,-4439.74512243486
177742,Aragorn,168,1887,46,2019/01/02 02:48:11+00,A,3,Dependent,FlyingFox_Contractor,2019/01/02 02:51:30+00,td018,2019/01/06 23:07:23+00,{6B67AC72-5148-4BCA-B237-4C641F2D4E67},427.795971365899,-7232.40890399652
177743,Emerald,18,2213,0,2019/01/02 03:41:50+00,A,3,Dependent,FlyingFox_Contractor,2019/01/02 03:25:43+00,td018,2019/01/06 23:22:27+00,{55CBD1AD-785E-4BF5-90BF-A3A64ADA4B68},387.62713702119,-8526.02351731974
177744,Hardie,40,400,2465,2019/01/28 22:40:57+00,A,3,Dependent,FlyingFox_Contractor,2019/01/14 23:31:35+00,td018,2019/02/06 22:37:14+00,{CDB34401-8F6D-430B-BF17-03DA1755C656},314.856263108216,-5765.50553686703
177745,Aragorn,171,1904,2562,2019/01/15 02:41:46+00,A,3,Dependent,FlyingFox_Contractor,2019/01/15 02:52:34+00,td018,2019/01/24 04:18:20+00,{E6EDA582-6247-4A02-9136-E1A120899083},365.372855531534,-5056.37236806393
177746,Vidler,1132,857,0,2019/01/15 00:36:08+00,A,3,Dependent,FlyingFox_Contractor,2019/01/15 00:38:47+00,td018,2019/01/30 01:04:25+00,{1CB9D2DB-8EEF-4345-A979-40A2B35BBE76},479.247109516634,-7697.37489509195
177747,Elizabeth,157,841,0,2019/01/15 01:39:46+00,A,3,Dependent,FlyingFox_Contractor,2019/01/15 01:45:47+00,td018,2019/01/29 00:35:17+00,{6A3007C8-40FD-4B38-8A19-C34C0AE361E6},449.01669627305,-4212.05382163426
177748,Emerald,39,2110,0,2019/01/15 04:26:12+00,A,3,Dependent,FlyingFox_Contractor,2019/01/15 03:50:32+00,td018,2019/01/29 00:30:46+00,{175221F2-12AC-4E86-843A-90B5786E2EF7},382.08090980449,-9474.73775230755
177749,Andrea,0,0,0,2019/01/15 22:51:20+00,A,3,Nil,FlyingFox_Contractor,2019/01/15 22:55:58+00,td018,2019/01/29 00:31:55+00,{DF5CEC4E-22FD-47C5-BBAD-44BC52CBEA91},184.444948756466,-2104.94691128207
177750,Mary,1350,0,0,2019/01/16 00:19:33+00,A,3,Dependent,FlyingFox_Contractor,2019/01/16 00:30:21+00,td018,2019/01/29 00:34:53+00,{3346066A-66B9-477D-AD13-AD412F01AFA8},352.418640489596,-8980.56492633964
177751,Vidler,1213,977,0,2019/01/28 23:47:25+00,A,3,Dependent,FlyingFox_Contractor,2019/01/29 00:04:38+00,td018,2019/02/06 22:37:45+00,{1B4FEA3E-2928-46C1-B021-A0489C1A39F0},500.748298400577,-8988.20927444819
177752,Elizabeth,182,600,400,2019/01/29 01:03:34+00,A,3,Dependent,FlyingFox_Contractor,2019/01/29 01:06:12+00,td018,2019/02/06 22:36:23+00,{2CE35E40-9DA2-44B1-AFAD-E4B8801B8B5F},453.867520348654,-5512.73549645944
177753,Aragorn,223,2000,1850,2019/01/29 02:15:24+00,A,3,Dependent,FlyingFox_Contractor,2019/01/29 02:15:41+00,td018,2019/02/06 22:35:50+00,{37971AE1-4F98-4DA5-BDA8-9CD9BB3A9FAD},379.886163462851,-5342.98621214209
177754,Emerald,138,1989,370,2019/01/29 02:53:28+00,A,3,Dependent,FlyingFox_Contractor,2019/01/29 02:51:34+00,td018,2019/02/06 22:36:47+00,{A307FE86-B00F-4A34-AE3F-89F75479BDC1},427.943923228624,-10121.8125686425
177755,Hardie,118,804,1501,2019/01/14 22:49:44+00,A,3,Dependent,LQD,2019/02/08 03:07:32+00,td018,2019/02/10 22:54:13+00,{D8FE43CF-FF8F-4CB1-A4BB-E995A04E7248},310.363966157878,-5814.16562140487
177756,Hardie,30,501,9500,2019/02/11 23:32:58+00,A,3,Dependent,FlyingFox_Contractor,2019/02/11 23:53:31+00,td018,2019/02/20 22:43:37+00,{36DC4626-D46A-4BAD-8EF5-9E9F80923BFC},293.894937963409,-5488.21537445922
177757,Vidler,1397,1278,0,2019/02/12 00:47:18+00,A,3,Dependent,FlyingFox_Contractor,2019/02/12 00:55:08+00,td018,2019/02/20 22:44:48+00,{98E95D11-BA6F-4A7E-B0DC-A2F88FA7D5E4},481.407957683561,-10395.5674415973
177758,Elizabeth,365,280,1300,2019/02/12 02:06:38+00,A,3,Dependent,FlyingFox_Contractor,2019/02/12 02:21:12+00,td018,2019/02/20 22:44:11+00,{8DCC4F93-782C-4788-A897-9724D0A87A26},408.650459280886,-3426.84312893778
177759,Aragorn,448,2680,4875,2019/02/12 03:33:32+00,A,3,Dependent,FlyingFox_Contractor,2019/02/12 03:51:04+00,td018,2019/02/20 22:43:54+00,{4E05AC9C-3BBB-430E-A8A6-60391801AA0C},660.984668085229,-12816.4086132247
177760,Emerald,156,2140,11600,2019/02/12 04:26:09+00,A,3,Dependent,FlyingFox_Contractor,2019/02/12 04:28:53+00,td018,2019/02/20 22:44:27+00,{E26B5A3E-326D-434E-825A-A07DFA85F2E9},408.982106875965,-9176.8738793691
177761,Andrea,0,0,0,2019/02/12 22:33:17+00,A,3,Nil,FlyingFox_Contractor,2019/02/12 22:39:31+00,td018,2019/02/20 22:43:25+00,{232BEFB8-3612-4D3C-A1A4-C351FEC7EF34},181.712176522269,-2082.22154436952
177762,Mary,1950,0,0,2019/02/13 00:10:17+00,A,3,Independent,FlyingFox_Contractor,2019/02/13 00:42:27+00,td018,2019/02/20 22:42:08+00,{A22C2D13-4127-4871-AEFF-1CECC09D1F69},352.915217394845,-8085.81922120414
177763,Hardie,180,658,2350,2019/02/25 23:21:08+00,A,3,Dependent,FlyingFox_Contractor,2019/02/25 23:34:51+00,td018,2019/03/07 00:01:02+00,{A3FA7EE4-A8C8-46C4-912C-B5A0CBD177D2},311.815557998148,-6634.33133379805
177764,Vidler,1216,680,13571,2019/02/26 00:17:21+00,A,3,Dependent,FlyingFox_Contractor,2019/02/26 00:42:28+00,td018,2019/03/07 00:01:22+00,{BD23D333-D964-409B-8426-82F051B08126},506.022595317406,-10559.2497277982
177765,Elizabeth,589,602,2300,2019/02/26 02:31:11+00,A,3,Dependent,FlyingFox_Contractor,2019/02/26 02:41:32+00,td018,2019/03/07 00:00:09+00,{91C622DB-EFF0-4236-B4F5-8F6AF48C4AA0},442.191872148314,-5064.43272125534
177766,Aragorn,484,2789,14900,2019/02/26 03:19:43+00,A,3,Dependent,FlyingFox_Contractor,2019/02/26 03:43:37+00,td018,2019/03/06 23:59:46+00,{DFFF3F8D-FC1B-4819-B9B9-DBBC31334972},599.236436202996,-8350.8203897301
177767,Emerald,194,2358,10100,2019/02/26 04:13:19+00,A,3,Dependent,FlyingFox_Contractor,2019/02/26 04:30:43+00,td018,2019/03/07 00:00:36+00,{4882DADB-7F25-4B30-B8BC-33E6E91A7CD2},548.964976101939,-15710.7164037028
177768,Hardie,41,680,205,2019/03/11 23:19:27+00,A,3,Independent,FlyingFox_Contractor,2019/03/11 23:33:23+00,td018,2019/03/20 22:52:49+00,{A061F9EE-051C-465D-AD19-3FFCF521D2AD},272.646028214377,-5095.96105420173
